"filename", "language", "Python", "Ini", "JSON", "Markdown", "YAML", "Properties", "comment", "blank", "total"
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\permission_model.py", "Python", -19, 0, 0, 0, 0, 0, 0, -3, -22
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\plan_model.py", "Python", -37, 0, 0, 0, 0, 0, 0, -6, -43
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\role_model.py", "Python", -25, 0, 0, 0, 0, 0, 0, -5, -30
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\models\user_model.py", "Python", -65, 0, 0, 0, 0, 0, 0, -10, -75
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\mongo_core.py", "Python", -175, 0, 0, 0, 0, 0, -3, -29, -207
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\mongo\mongo_data.py", "Python", -90, 0, 0, 0, 0, 0, -1, -13, -104
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\redis_core.py", "Python", -125, 0, 0, 0, 0, 0, 0, -10, -135
"c:\Users\pedro\OneDrive\Área de Trabalho\Projetos\sd-gen-backend\sd_automatic\automatic_core.py", "Python", -12, 0, 0, 0, 0, 0, 0, -3, -15
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\details.md", "Markdown", 0, 0, 0, 35, 0, 0, 0, 6, 41
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 6, 15
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 7, 19
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-01_17-49-59\results.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 7, 29
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\details.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 6, 53
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff-details.md", "Markdown", 0, 0, 0, 40, 0, 0, 0, 6, 46
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\diff.md", "Markdown", 0, 0, 0, 26, 0, 0, 0, 7, 33
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-14_21-34-39\results.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 7, 34
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\details.md", "Markdown", 0, 0, 0, 53, 0, 0, 0, 6, 59
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\diff-details.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 6, 26
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\diff.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 7, 30
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\projetos\sd-gen-backend\.VSCodeCounter\2023-07-22_15-50-38\results.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 7, 37
